Title,Company,Location,Date_Posted,Date_Collected
Dynamics 365 CE (CRM) Developer,PwC Polska,"Łódź, Łódzkie, Poland",2023-01-19,2023-02-02
Javascript Developer,Commerzbank AG,"Łódź, Łódzkie, Poland",2023-01-19,2023-02-02
"Manager, Customer Analytics (Bangkok-based, relocation provided)",Agoda,"Łódź, Łódzkie, Poland",2023-02-01,2023-02-02
Backend Engineer Node.js,BytePitch - Software Labs,"Łódź, Łódzkie, Poland",2022-12-12,2023-02-02
Shopware Developer (remote job),KLIENT jobdesk.pl,"Łódź, Łódzkie, Poland",2023-01-20,2023-02-02
Experienced Cloud Software Developer,Ericsson,"Łódź, Łódzkie, Poland",2023-01-19,2023-02-02
.Net Software Engineer,Metapack,"Łódź, Łódzkie, Poland",2023-01-15,2023-02-02
"Analyst or Senior Analyst- Customer Marketing (Bangkok Based, relocation provided)",Agoda,"Łódź, Łódzkie, Poland",2023-01-20,2023-02-02
Programista,Comarch,"Łódź, Łódzkie, Poland",2023-01-29,2023-02-02
MacOS Developer (Poland),Pertemps ERP,"Łódź, Łódzkie, Poland",2022-12-17,2023-02-02
SAP Developer,Grafton Recruitment,"Łódź, Łódzkie, Poland",2022-12-22,2023-02-02
"Marketing Analytical Roles- Analyst/ Senior Analyst/ Associate Manager (Bangkok Based, relocation provided)",Agoda,"Łódź, Łódzkie, Poland",2023-01-20,2023-02-02
Frontend Developer,Team Up IT Recruitment,"Łódź, Łódzkie, Poland",2023-02-02,2023-02-02
SAP FI Developer (PGE),P&P Solutions Sp. z o.o.,"Łódź, Łódzkie, Poland",2023-01-06,2023-02-02
"Senior DevOps/Cloud Engineer (Azure, Python)",EPAM Anywhere,"Łódź, Łódzkie, Poland",2023-01-30,2023-02-02
Programista Python,Sii Poland,"Łódź, Łódzkie, Poland",2023-01-31,2023-02-02
"Senior DevOps/Cloud Engineer (Azure, Python)",EPAM Anywhere,"Łódź, Łódzkie, Poland",2023-01-23,2023-02-02
Feature Test Engineer,HARMAN International,"Łódź, Łódzkie, Poland",2023-02-02,2023-02-02
Shopware Developer (full time or part time) (remote job),KLIENT jobdesk.pl,"Łódź, Łódzkie, Poland",2023-01-24,2023-02-02
"C++ Developer - Leica Geosystems division (Hybrid, no VISA sponsorship)",Hexagon AB,"Łódź, Łódzkie, Poland",2022-12-29,2023-02-02
"C++ Image Processing Engineer (Hybrid, no VISA sponsorship)",Hexagon AB,"Łódź, Łódzkie, Poland",2022-12-29,2023-02-02
Programista .NET,Atos,"Łódź, Łódzkie, Poland",2023-01-13,2023-02-02
DevOps Engineer,Grupa Progres Permanent Recruitment,"Łódź, Łódzkie, Poland",2022-11-29,2023-02-02
Programista .NET,Comarch,"Łódź, Łódzkie, Poland",2023-01-12,2023-02-02
ServiceNow Business Analyst,KPMG Poland,"Łódź, Łódzkie, Poland",2023-02-01,2023-02-02
Senior Business Analyst for Process Automation Enablement,Nordea,"Łódź, Łódzkie, Poland",2023-01-26,2023-02-02
Expert Software Engineer - Remote,TomTom,"Łódź, Łódzkie, Poland",2023-01-24,2023-02-02
Autosar Security Engineer,HARMAN International,"Łódź, Łódzkie, Poland",2023-01-22,2023-02-02
Europe - Business Analyst (HFM Business Specialist),Fujitsu,"Łódź, Łódzkie, Poland",2023-01-08,2023-02-02
Inżynier w kulturze DevOps,Comarch,"Łódź, Łódzkie, Poland",2023-01-29,2023-02-02
Programista .NET/.NET Developer,KMK AUDYT,"Łódź, Łódzkie, Poland",2022-12-07,2023-02-02
Software QA Engineer - EV-Charger Cloud Connectivity,ABB,"Łódź, Łódzkie, Poland",2022-12-15,2023-02-02
Programista PHP,EDC Store,"Łódź, Łódzkie, Poland",2022-12-29,2023-02-02
Mid/Senior Python Developer,www.TeamQuest.pl,"Łódź, Łódzkie, Poland",2023-01-16,2023-02-02
Senior Analyst / Product Owner in Solution Delivery,Nordea,"Łódź, Łódzkie, Poland",2023-01-12,2023-02-02
